mpo,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""45197700""","""Charleston Area Transportation Study""","""Charleston-North Charleston, SC""",337.77,613160.66,232037.10,492059.41,55,66,55,31,39,31,24,27,24,9.11,14.10,1.77,2,2,21837,19439,21878,1,1,1,12661,11336,12671,9623,8630,9627,3026,2694,3032,12,12,12,17,17,17,3.5,5.4,1.86,0.47,9838,61,13280,86,25,45,2333,1399,1473,1028,62,38
"""45198200""","""Florence Area Transportation Study""","""Florence, SC""",69.90,97636.05,37322.80,152232.28,59,69,46,29,37,22,30,33,24,9.19,8.17,1.68,2,2,21895,19497,22929,1,1,1,12206,10556,13012,9155,7834,9818,3034,2703,3177,17,19,16,11,12,10,3.2,5.7,0.82,0.25,6150,64,9187,85,55,23,2931,991,1042,638,65,35
"""45198300""","""Rock Hill-Fort Mill Area Transportation Study""","""Charlotte-Concord-Gastonia, NC-SC""",80.69,187136.92,71199.11,171642.69,53,63,52,27,34,27,26,29,25,9.76,8.61,1.90,2,2,23534,20875,23443,0,0,0,13585,12298,13556,10324,9405,10307,3261,2893,3249,0,0,0,0,0,0,2.6,3.5,1.25,0.41,9034,68,10989,87,48,30,2470,1205,1252,825,69,31
"""45199100""","""Sumter Urban Area Transportation Study""","""Sumter, SC""",51.89,83513.66,32014.64,118334.10,58,67,46,27,34,21,30,33,25,9.31,6.53,1.75,2,2,22318,20031,23162,1,1,1,12592,10884,13303,9497,8104,10091,3093,2777,3210,2,3,2,10,15,9,3.5,3.3,0.97,0.27,5684,68,6546,85,38,35,1950,946,1003,706,62,38
"""45199200""","""Grand-Strand Area Transportation Study""","""Georgetown, SC,Myrtle Beach-Conway-North Myrtle Beach, SC-NC""",183.80,314778.72,132387.24,502200.49,60,70,51,32,40,26,28,30,25,8.70,6.49,1.72,2,2,21575,19023,23165,1,1,1,12383,10725,13275,9384,8080,10055,2990,2637,3210,9,8,11,9,7,10,2.9,3.9,0.96,0.26,4920,54,5193,84,48,31,2926,1182,1274,784,70,30
"""45199300""","""Anderson Area Transportation Study""","""Greenville-Anderson-Mauldin, SC""",64.11,94193.07,37198.06,107942.96,53,61,46,25,31,21,28,30,25,9.08,5.94,1.80,2,2,22625,20211,23210,1,1,1,12910,11192,13351,9773,8388,10133,3135,2802,3216,2,2,2,9,11,9,3.3,3.8,0.95,0.34,6271,69,8074,86,37,39,2065,946,965,685,64,36
"""45201300""","""Lowcountry Area Transportation Study""","""Hilton Head Island-Bluffton-Beaufort, SC,Savannah, GA""",103.39,162806.36,62202.99,321227.18,57,69,58,34,42,33,24,27,25,9.11,6.47,1.80,2,2,22858,20278,23548,1,1,1,12969,11732,13283,9787,8912,10005,3167,2810,3263,14,10,14,12,9,12,2.9,5.2,2.51,0.19,4265,65,4024,82,47,28,3854,1497,1500,1024,69,31
"""46197300""","""South Eastern COG""","""Sioux Falls, SD""",128.67,198985.94,77436.43,204613.79,45,53,47,23,29,25,22,25,23,9.18,18.11,1.77,2,2,21890,19449,21395,2,2,2,12755,11366,12358,9637,8596,9308,3098,2753,3028,19,17,21,26,23,29,2.1,7.5,1.53,0.38,11554,62,20479,86,24,32,2305,1101,1128,694,64,36
"""46198100""","""Rapid City Area MPO""","""Rapid City, SD,Spearfish, SD""",64.14,106826.20,41627.68,305952.14,52,62,50,27,34,26,25,28,24,9.39,11.03,1.77,2,2,22453,20048,22848,1,1,1,12866,11541,13058,9655,8673,9788,3178,2838,3234,32,31,36,29,27,32,1.8,6.2,1.20,0.14,5617,62,9112,84,75,14,4155,1159,1230,776,67,33
"""47197701""","""Nashville Area MPO""","""Bowling Green, KY,Clarksville, TN-KY,Lawrenceburg, TN,Lewisburg, TN,Nashville-Davidson--Murfreesboro--Franklin, TN,Shelbyville, TN,Tullahoma-Manchester, TN""",916.00,1584130.08,598419.08,2493217.08,53,63,53,29,36,29,24,27,24,9.39,11.95,1.82,2,2,22509,20029,22366,1,1,2,13130,11809,13038,9917,8949,9844,3186,2835,3166,28,26,29,22,21,22,1.7,5.9,0.80,0.24,10405,66,18317,86,59,21,2936,1289,1351,867,65,35
