place,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""2128594""","""Fort Thomas""","""Cincinnati, OH-KY-IN""",11.34,15504.36,6185.93,3632.66,50,59,52,27,34,28,23,25,23,8.98,19.26,1.75,2,2,21256,18865,21443,4,4,4,12602,11205,12653,9517,8462,9541,3009,2670,3035,76,73,77,62,59,63,3.9,7.6,2.88,1.70,13249,66,11301,85,28,102,1485,1264,1445,658,72,28
"""2128612""","""Fort Wright""","""Cincinnati, OH-KY-IN""",5.64,6813.41,2759.38,2170.50,46,54,47,24,30,25,21,24,22,8.33,12.82,1.66,1,2,20145,18024,20288,3,3,3,11928,10561,11967,9026,7959,9044,2851,2551,2872,51,51,52,41,42,42,5.7,8.1,3.43,1.27,15071,61,17507,87,14,117,1032,1117,1248,773,59,41
"""2128666""","""Fountain Run""","""""",0.07,39.29,16.41,841.86,66,79,42,24,31,14,42,48,28,10.06,0.20,1.88,2,2,22568,20183,25349,0,0,0,12904,11898,15146,9703,9032,11551,3195,2858,3588,6,8,7,6,7,6,2.2,0.3,0.13,0.02,1442,63,1383,82,243,6,3682,634,717,422,72,28
"""2128785""","""Fox Chase""","""Louisville/Jefferson County, KY-IN""",0.22,341.12,122.95,244.19,54,65,52,27,34,26,27,31,26,10.92,5.50,1.92,2,2,24126,21413,24558,0,0,0,13873,12501,14100,10458,9471,10624,3415,3031,3476,0,0,0,0,0,0,1.9,6.7,0.90,0.50,6832,94,6731,84,23,41,1423,1166,1188,892,92,8
"""2128882""","""Francisville""","""Cincinnati, OH-KY-IN""",0.83,3840.00,1227.85,5425.16,63,76,65,37,47,39,26,29,27,11.65,2.66,1.99,2,2,24590,22018,24798,1,1,1,14330,12988,14375,10841,9864,10856,3480,3116,3510,9,7,10,8,6,8,1.0,6.9,0.71,0.23,3977,90,5444,83,180,13,3817,1731,1827,1641,84,16
"""2128900""","""Frankfort""","""Frankfort, KY""",20.51,23166.57,10238.76,9439.03,46,54,44,22,27,20,24,27,23,8.40,16.63,1.67,2,2,21144,18834,22184,0,0,0,12078,10886,12562,9085,8221,9422,2993,2666,3140,0,0,0,0,0,0,5.4,5.0,2.97,1.08,7372,59,12678,87,15,102,1327,909,1157,598,53,47
"""2128918""","""Franklin""","""""",4.90,6090.93,2235.44,8890.31,54,64,42,23,29,17,31,35,25,7.81,5.03,1.74,2,2,22592,20509,23401,0,0,0,12184,11105,13390,8986,8200,10078,3199,2904,3312,0,1,0,0,1,0,3.3,1.5,0.85,0.25,3582,73,4004,85,37,35,2850,765,790,636,46,54
"""2129080""","""Fredonia""","""""",0.02,13.93,6.51,396.02,58,68,48,23,29,18,35,39,30,9.83,0.16,2.13,2,2,24462,21873,26067,0,0,0,15057,13323,15950,11590,10222,12253,3462,3097,3689,5,4,8,4,3,7,0.7,0.5,0.42,0.02,1353,82,1147,81,244,5,2942,808,842,613,85,15
"""2129134""","""Freeburn""","""""",0.13,115.57,49.01,773.73,73,88,49,37,46,23,37,42,27,9.36,0.59,1.77,2,2,21329,18612,24491,1,1,2,12136,11042,14373,9116,8406,10906,3020,2635,3466,0,0,0,0,0,0,2.4,2.8,0.70,0.06,1594,47,1084,79,146,12,2247,1020,868,152,87,13
"""2129260""","""Frenchburg""","""Mount Sterling, KY""",0.02,24.43,10.10,536.61,60,71,43,23,28,15,37,43,28,9.34,0.18,1.93,2,2,24079,21670,25247,1,1,1,13367,12325,14896,9944,9239,11308,3409,3068,3573,14,17,15,12,15,13,2.0,1.8,0.57,0.02,1235,69,1230,80,308,6,3388,677,782,469,67,33
"""2129566""","""Fulton""","""Union City, TN-KY""",2.21,1772.33,672.17,1881.81,52,62,40,23,28,16,30,34,24,8.96,6.85,1.62,1,2,20715,18786,22475,1,1,1,11300,10249,13009,8345,7562,9811,2933,2660,3181,22,27,17,19,23,14,4.9,3.2,1.20,0.36,1771,75,1929,81,10,78,1806,717,865,553,54,46
"""2129872""","""Gamaliel""","""""",0.03,21.37,8.88,363.89,68,81,43,27,33,15,42,48,28,10.06,0.25,1.87,2,2,22811,20520,25515,1,1,1,12887,11865,15151,9645,8945,11527,3230,2905,3611,12,15,12,10,12,10,1.7,2.0,0.34,0.02,1487,78,1358,80,169,6,3535,688,723,579,75,25
"""2130232""","""Garrison""","""""",0.10,143.26,52.54,1735.75,74,87,43,29,36,15,45,51,28,10.00,0.41,1.85,2,2,22983,20502,25474,1,1,1,12841,11756,15132,9575,8840,11511,3254,2903,3606,12,13,15,10,11,13,1.5,2.2,0.43,0.03,1237,74,1226,80,111,10,2352,686,682,513,86,14
"""2130700""","""Georgetown""","""Lexington-Fayette, KY""",14.13,22128.74,8152.49,10594.28,50,60,48,24,30,23,26,30,25,9.83,20.22,1.86,2,2,22700,20228,23241,0,0,0,13355,12085,13599,10142,9222,10309,3213,2863,3289,0,0,0,0,0,0,4.6,0.6,2.33,0.77,7851,68,8735,89,16,69,1580,1016,1059,721,63,37
"""2130718""","""Germantown""","""Cincinnati, OH-KY-IN,Maysville, KY""",0.00,4.01,1.62,78.21,53,64,52,24,30,23,29,34,29,10.34,0.22,2.19,2,2,25383,22407,25783,1,0,1,15457,14185,15705,11851,11008,12042,3593,3172,3649,13,5,14,11,4,12,0.3,1.9,0.14,0.02,1457,65,1405,81,500,4,5559,1029,1045,89,94,6
"""2130808""","""Ghent""","""""",0.05,48.05,15.41,446.56,59,68,46,26,32,20,33,36,26,10.85,0.37,1.87,2,2,23940,21685,24818,0,1,0,13545,11987,14275,10150,8905,10757,3388,3070,3513,7,11,6,6,9,5,3.6,2.3,0.62,0.03,1447,73,1812,81,111,10,2527,892,1056,696,54,46
"""2130880""","""Gilbertsville""","""""",0.14,103.76,35.48,643.36,45,52,40,17,21,14,28,31,25,9.50,0.52,1.76,2,2,22510,20116,24023,0,0,0,12773,11178,13618,9587,8330,10218,3186,2848,3400,0,0,0,0,0,0,5.2,4.1,0.95,0.06,1535,61,4034,84,22,28,1315,646,627,678,62,38
"""2131114""","""Glasgow""","""Glasgow, KY""",10.59,11099.24,5036.17,10100.70,55,66,41,24,30,17,31,35,24,7.24,8.13,1.65,2,2,22005,19819,23362,0,0,0,11649,10566,13126,8534,7760,9819,3116,2806,3307,0,0,0,0,0,0,4.0,3.6,1.51,0.50,4830,68,8578,87,30,48,1915,756,661,567,52,48
"""2131204""","""Glencoe""","""Cincinnati, OH-KY-IN""",0.09,175.35,58.64,1129.77,48,57,49,22,27,22,26,30,27,11.12,0.58,2.00,2,2,24639,21920,24856,1,0,1,14397,13144,14418,10898,10036,10888,3487,3103,3518,11,6,12,10,5,10,3.0,2.4,0.39,0.05,1556,61,1749,81,97,11,2432,1004,1081,790,74,26
"""2131348""","""Glenview""","""Louisville/Jefferson County, KY-IN""",0.42,529.78,285.11,907.31,89,107,85,62,78,59,26,29,25,8.26,2.70,1.87,2,2,23003,20471,23420,1,1,1,13426,12000,13677,10160,9090,10352,3256,2897,3315,10,12,10,12,15,12,3.4,6.0,0.87,0.31,8889,70,10979,86,32,36,2008,2660,2660,,84,16
"""2131402""","""Glenview Hills""","""Louisville/Jefferson County, KY-IN""",0.12,121.28,49.04,80.56,85,103,82,58,73,55,27,30,26,9.52,5.96,1.94,2,2,23361,20831,23778,0,0,0,13853,12354,14123,10543,9400,10755,3306,2948,3365,4,6,3,4,7,3,1.2,7.2,1.05,0.61,11599,99,13201,86,31,56,1669,2491,2491,,98,2
"""2131420""","""Glenview Manor""","""Louisville/Jefferson County, KY-IN""",0.16,189.14,61.41,54.90,75,90,72,49,62,47,26,29,25,9.77,10.93,1.86,2,2,22193,19783,22586,2,2,2,13288,11770,13561,10124,8946,10343,3141,2800,3197,22,24,22,26,28,26,2.0,7.8,1.45,1.12,14914,99,18587,87,14,88,1323,2101,2101,,97,3
"""2131870""","""Goose Creek""","""Louisville/Jefferson County, KY-IN""",0.25,174.99,69.45,39.51,62,73,59,35,44,34,26,29,25,9.89,20.67,1.86,2,2,22831,20094,23263,1,0,1,13386,11966,13627,10148,9119,10326,3231,2844,3293,7,3,8,8,4,10,2.6,6.9,2.50,1.76,16193,98,20121,88,11,135,1051,1511,1511,112,96,4
"""2131960""","""Goshen""","""Louisville/Jefferson County, KY-IN""",0.21,394.15,131.78,125.90,63,75,60,35,44,33,28,32,27,11.61,12.15,1.98,2,2,24702,22052,25121,0,0,0,14287,12905,14515,10791,9784,10959,3496,3121,3556,0,0,0,0,0,0,1.8,2.6,1.68,1.05,4911,100,4117,84,20,77,1187,1499,1470,1792,91,9
"""2132032""","""Gracey""","""Clarksville, TN-KY""",0.01,8.43,3.02,153.76,70,82,61,35,44,31,34,38,30,10.97,0.22,2.26,2,2,26557,23943,26496,0,0,0,16034,14191,16188,12275,10802,12438,3759,3390,3750,0,0,0,0,0,0,0.2,1.0,0.10,0.02,1626,98,1531,82,242,7,3126,1370,1370,,86,14
"""2132212""","""Grand Rivers""","""Paducah, KY-IL""",0.21,192.71,100.00,1185.91,52,61,44,22,27,17,31,33,26,8.15,0.69,1.84,2,2,22317,19806,23962,0,0,0,13187,11534,14101,10028,8730,10707,3159,2804,3392,0,0,3,0,0,2,5.2,0.2,0.73,0.08,1280,54,1621,83,20,40,1359,785,835,672,70,30
